fips,county,Lat,Long
6099,Stanislaus,37.6374,-121.0028
8097,Pitkin,39.2203,-106.9393
10003,New Castle,39.8056,-75.4862
12086,Miami-Dade,25.8787,-80.125
12109,St. Johns,30.19,-81.3704
13015,Bartow,34.3702,-84.9214
13177,Lee,31.7325,-84.1687
13185,Lowndes,30.9941,-83.3787
17097,Lake,42.379,-88.0811
18067,Howard,40.4765,-85.9625
18081,Johnson,39.6019,-86.1073
18141,St. Joseph,41.6736,-86.1669
22017,Caddo,32.6091,-93.8841
24005,Baltimore,39.424,-76.6177
27109,Olmsted,43.8606,-92.4896
28035,Forrest|Lamar,31.3074,-89.317
34023,Middlesex,40.4489,-74.2495
35001,Bernalillo,35.0609,-106.4587
35049,Santa Fe,35.8464,-105.9948
35053,Socorro,34.2183,-106.9151
36055,Monroe,43.2137,-77.9403
38101,Ward,48.2573,-101.4146
39151,Stark,40.7978,-81.468
41017,Deschutes,44.2614,-121.2995
41043,Linn,44.3561,-122.865
41053,Polk,44.8551,-123.1948
41059,Umatilla,45.976,-118.501
42017,Bucks,40.5965,-75.1987
45057,Lancaster,34.7247,-80.7802
46009,Bon Homme,42.7822,-97.9816
48183,Gregg|Upshur,32.5426,-94.9465
50007,Chittenden,44.4877,-73.2314
51013,Arlington,38.8786,-77.1011
53029,Island,48.1865,-122.4708
53067,Thurston,46.8537,-122.8607
55039,Fond du Lac,43.8377,-88.3465
55133,Waukesha,43.1229,-88.3838
56033,Sheridan,44.9488,-107.3077
2020,Anchorage,61.1508,-149.1091
5119,Pulaski,34.7926,-92.1959
6107,Tulare,36.379,-119.0312
8001,Adams|Arapahoe,39.7084,-104.7274
9005,Litchfield,41.7457,-73.1893
12019,Clay,30.0472,-81.7855
12031,Duval,30.3165,-81.4118
12099,Palm Beach,26.6815,-80.1265
12115,Sarasota,27.3328,-82.4616
12117,Seminole,28.7893,-81.276
19027,Carroll,42.1225,-94.7837
20209,Wyandotte,39.1234,-94.7443
21173,Montgomery,37.997,-83.8926
23001,Androscoggin,44.0086,-70.057
26065,Ingham,42.5558,-84.303
26081,Kent,42.8909,-85.7066
26117,Montcalm,43.2928,-85.0789
26147,St. Clair,42.8262,-82.493
26161,Washtenaw,42.2755,-83.7312
27037,Dakota,44.9096,-93.1301
27053,Hennepin,44.9394,-93.5891
27145,Stearns,45.465,-94.3222
29077,Greene,37.1193,-93.3683
31025,Cass,40.8691,-96.14
32510,Carson City,39.1511,-119.7474
34013,Essex,40.8428,-74.2014
34027,Morris,40.7966,-74.4772
36001,Albany,42.7199,-73.8333
36025,Delaware,42.4459,-74.9088
36027,Dutchess,41.6191,-73.7944
36043,Herkimer,43.1859,-75.0151
36071,Orange,41.3782,-74.6909
37025,Cabarrus|Rowan,35.4764,-80.6403
37067,Forsyth|Stokes,36.2587,-80.236
37101,Johnston,35.4669,-78.1612
37119,Mecklenburg,35.0864,-80.8915
37133,Onslow,34.7498,-77.3209
39155,Trumbull,41.3421,-80.5277
41005,Clackamas,45.4239,-122.447
42095,Northampton,40.8811,-75.1861
42103,Pike,41.3666,-74.6997
47093,Knox,36.0673,-83.765
51510,Alexandria,38.8185,-77.0861
51085,Hanover,37.7668,-77.3706
51147,Prince Edward|Cumberland,37.2959,-78.4002
51153,Prince William,38.6473,-77.3459
53013,Columbia,46.3168,-117.9769
53027,Grays Harbor,46.8304,-124.0898
53077,Yakima,46.7026,-120.756
1051,Elmore,32.6314,-86.3268
1073,Jefferson,33.544,-86.6599
1083,Limestone,34.9847,-86.8373
1101,Montgomery,32.3473,-86.2666
1125,Tuscaloosa,33.2302,-87.4827
6069,San Benito,36.8457,-121.5384
8019,Clear Creek,39.7241,-105.4306
8101,Pueblo,38.2351,-104.3434
8107,Routt,40.2738,-106.9574
8117,Summit,39.5817,-105.8681
8123,Weld,40.8691,-104.2259
12095,Orange,28.4727,-81.4169
12097,Osceola,28.3349,-81.3539
13129,Gordon,34.4379,-84.6999
13151,Henry,33.4399,-84.1508
16001,Ada,43.7223,-116.3861
19085,Harrison,41.8082,-96.0274
20015,Butler,37.9636,-97.146
22089,St. Charles,29.9986,-90.4036
22103,St. Tammany,30.3687,-89.7495
22109,Terrebonne,29.3864,-90.7081
23005,Cumberland,43.6954,-70.3539
24003,Anne Arundel|Howard,39.1457,-76.7745
24017,Charles,38.2646,-76.8496
26017,Bay,43.5903,-83.8886
26029,Charlevoix,45.2719,-84.9413
26089,Leelanau,44.896,-85.99
26099,Macomb,42.5809,-83.0305
27171,Wright|Hennepin,45.092,-93.7453
28029,Copiah,31.9903,-90.354
28083,Leflore,33.5173,-90.3444
28109,Pearl River,30.574,-89.6419
29083,Henry,38.4331,-93.9342
30031,Gallatin,45.6828,-111.0549
30049,Lewis and Clark,46.7289,-112.0627
30093,Silver Bow,46.0366,-112.5396
30111,Yellowstone,46.0988,-108.8789
34029,Ocean,40.0384,-74.1678
36093,Schenectady,42.8614,-73.9206
37191,Wayne,35.3777,-77.972
40109,Oklahoma,35.5706,-97.5567
42029,Chester|Delaware,39.9343,-75.5306
42041,Cumberland,40.2311,-77.0727
42125,Washington,40.332,-80.256
46087,McCook,43.5978,-97.2926
47065,Hamilton,35.2571,-85.174
47089,Jefferson,36.1087,-83.297
47149,Rutherford,35.9573,-86.3678
48027,Bell,31.0525,-97.479
48141,El Paso,31.811,-106.1643
48167,Galveston|Chambers,29.4128,-94.9658
48423,Smith,32.2222,-95.2217
48453,Travis,30.4088,-98.0451
51660,Harrisonburg,38.4362,-78.8735
53025,Grant,47.1949,-119.3186
55079,Milwaukee,42.937,-88.0018
55101,Racine,42.8088,-88.215
55117,Sheboygan,43.6766,-87.9478
56013,Fremont,43.0069,-108.9205
1003,Baldwin,30.2758,-87.7014
4009,Graham,32.8138,-109.6291
6079,San Luis Obispo,35.7309,-120.8702
8013,Boulder,40.0726,-105.5136
8077,Mesa,39.0877,-108.5673
9003,Hartford,41.5832,-72.8915
9009,New Haven,41.3265,-73.0833
13077,Coweta,33.326,-84.6371
15007,Kauai,22.2186,-159.561
16013,Blaine,43.5141,-114.3
16081,Teton,43.7294,-111.103
17035,Cumberland,39.3215,-88.4504
17043,DuPage,41.7635,-87.9456
17167,Sangamon,39.7577,-89.9026
17163,St. Clair,38.3188,-89.8743
